METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54687;"{""coordinates"": [-123.10027288481304, 49.263513908708426], ""type"": ""Point""}";Mount Pleasant;990002;49.263513908708426, -123.10027288481304
Pay Station;$4.00;$4.00;$4.00;$4.00;$4.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;53695;"{""coordinates"": [-123.06946001432016, 49.27276398581615], ""type"": ""Point""}";Grandview-Woodland;6C1306;49.27276398581615, -123.06946001432016
Pay Station;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;51678;"{""coordinates"": [-123.06991893936068, 49.26063602077593], ""type"": ""Point""}";Kensington-Cedar Cottage;6C2619;49.26063602077593, -123.06991893936068
Pay Station;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;$ .50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;52165;"{""coordinates"": [-123.06956705333364, 49.26627496734119], ""type"": ""Point""}";Grandview-Woodland;6C2016;49.26627496734119, -123.06956705333364
Pay Station;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;52341;"{""coordinates"": [-123.06993404596922, 49.259946978556236], ""type"": ""Point""}";Kensington-Cedar Cottage;6C2711;49.259946978556236, -123.06993404596922
Pay Station;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;51594;"{""coordinates"": [-123.06951306274327, 49.26903499654443], ""type"": ""Point""}";Grandview-Woodland;6C1714;49.26903499654443, -123.06951306274327
Pay Station;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;52171;"{""coordinates"": [-123.06954595645495, 49.26749904679613], ""type"": ""Point""}";Grandview-Woodland;6C1906;49.26749904679613, -123.06954595645495
Pay Station;$1.00;$4.00;$1.00;$4.00;$1.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;54247;"{""coordinates"": [-123.06960505274944, 49.263973971705255], ""type"": ""Point""}";Grandview-Woodland;6C2306;49.263973971705255, -123.06960505274944
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;67816;"{""coordinates"": [-123.0977577847809, 49.28271965395001], ""type"": ""Point""}";Strathcona;500209;49.28271965395001, -123.0977577847809
Twin Bay Single;$4.00;$4.00;$4.00;$4.00;$4.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;62163;"{""coordinates"": [-123.10751945197936, 49.281454168085254], ""type"": ""Point""}";Downtown;540409;49.281454168085254, -123.10751945197936
Pay Station;$5.00;$5.00;$5.00;$5.00;$5.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;52274;"{""coordinates"": [-123.06943599584424, 49.27416302203705], ""type"": ""Point""}";Grandview-Woodland;6C1122;49.27416302203705, -123.06943599584424
Pay Station;$5.00;$5.00;$5.00;$5.00;$5.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;50305;"{""coordinates"": [-123.06963193502062, 49.274188990170565], ""type"": ""Point""}";Grandview-Woodland;6C1113;49.274188990170565, -123.06963193502062
Pay Station;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;51541;"{""coordinates"": [-123.06949596814304, 49.27105496772825], ""type"": ""Point""}";Grandview-Woodland;6C1504;49.27105496772825, -123.06949596814304
Pay Station;$4.00;$4.00;$4.00;$4.00;$4.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;50312;"{""coordinates"": [-123.06965498287964, 49.27278797555766], ""type"": ""Point""}";Grandview-Woodland;6C1305;49.27278797555766, -123.06965498287964
Pay Station;$2.00;$3.00;$2.00;$3.00;$2.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;50278;"{""coordinates"": [-123.06969297674733, 49.27087296626147], ""type"": ""Point""}";Grandview-Woodland;6C1509;49.27087296626147, -123.06969297674733
Pay Station;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;52230;"{""coordinates"": [-123.06976404294969, 49.268432976669594], ""type"": ""Point""}";Grandview-Woodland;6C1801;49.268432976669594, -123.06976404294969
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;4 Hr;4 Hr;4 Hr;4 Hr;4 Hr;4 Hr;;Yes;59939;"{""coordinates"": [-123.1011438193486, 49.24985824886951], ""type"": ""Point""}";Riley Park;513913;49.24985824886951, -123.1011438193486
Twin Bay Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;64230;"{""coordinates"": [-123.10693219467609, 49.28106039139301], ""type"": ""Point""}";Downtown;080031;49.28106039139301, -123.10693219467609
Pay Station;$3.00;$5.00;$3.00;$5.00;$3.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;50368;"{""coordinates"": [-123.06967700267711, 49.2716339691995], ""type"": ""Point""}";Grandview-Woodland;6C1411;49.2716339691995, -123.06967700267711
Twin Bay Single;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;30 min;30 min;30 min;30 min;30 min;30 min;;Yes;51629;"{""coordinates"": [-123.17276052701409, 49.26406651615858], ""type"": ""Point""}";Kitsilano;303014;49.26406651615858, -123.17276052701409
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52618;"{""coordinates"": [-123.10119005401266, 49.26150702490763], ""type"": ""Point""}";Mount Pleasant;512617;49.26150702490763, -123.10119005401266
Twin;$1.00;$2.00;$1.00;$2.00;$1.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51592;"{""coordinates"": [-123.17544263917559, 49.26427638970795], ""type"": ""Point""}";Kitsilano;303121;49.26427638970795, -123.17544263917559
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56051;"{""coordinates"": [-123.1511529997108, 49.26390313720115], ""type"": ""Point""}";Kitsilano;302011;49.26390313720115, -123.1511529997108
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54802;"{""coordinates"": [-123.17259156741945, 49.26406391718795], ""type"": ""Point""}";Kitsilano;303010;49.26406391718795, -123.17259156741945
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52053;"{""coordinates"": [-123.17254139514831, 49.26422836157452], ""type"": ""Point""}";Kitsilano;303005;49.26422836157452, -123.17254139514831
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54245;"{""coordinates"": [-123.17254139514831, 49.26422836157452], ""type"": ""Point""}";Kitsilano;303007;49.26422836157452, -123.17254139514831
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52209;"{""coordinates"": [-123.17305727817595, 49.264236063522645], ""type"": ""Point""}";Kitsilano;303017;49.264236063522645, -123.17305727817595
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52424;"{""coordinates"": [-123.11950190724636, 49.263384017005315], ""type"": ""Point""}";Fairview;300639;49.263384017005315, -123.11950190724636
Twin;$3.00;$3.00;$3.00;$3.00;$3.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;62384;"{""coordinates"": [-123.1269637678162, 49.275637781182226], ""type"": ""Point""}";Downtown;170603;49.275637781182226, -123.1269637678162
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54709;"{""coordinates"": [-123.10027288481304, 49.263513908708426], ""type"": ""Point""}";Mount Pleasant;990004;49.263513908708426, -123.10027288481304
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52562;"{""coordinates"": [-123.1000208880975, 49.263219857958646], ""type"": ""Point""}";Mount Pleasant;990014;49.263219857958646, -123.1000208880975
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53853;"{""coordinates"": [-123.10578359462397, 49.26311832396864], ""type"": ""Point""}";Mount Pleasant;300015;49.26311832396864, -123.10578359462397
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53319;"{""coordinates"": [-123.11003911032996, 49.26321851393711], ""type"": ""Point""}";Mount Pleasant;300209;49.26321851393711, -123.11003911032996
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53099;"{""coordinates"": [-123.11036720663255, 49.2632251273062], ""type"": ""Point""}";Mount Pleasant;300215;49.2632251273062, -123.11036720663255
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54267;"{""coordinates"": [-123.11036720663255, 49.2632251273062], ""type"": ""Point""}";Mount Pleasant;300217;49.2632251273062, -123.11036720663255
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;67584;"{""coordinates"": [-123.12864808356339, 49.27656187379355], ""type"": ""Point""}";Downtown;170716;49.27656187379355, -123.12864808356339
Twin;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;67199;"{""coordinates"": [-123.12864808356339, 49.27656187379355], ""type"": ""Point""}";Downtown;170714;49.27656187379355, -123.12864808356339
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51120;"{""coordinates"": [-123.14220170411868, 49.267877832687915], ""type"": ""Point""}";Fairview;B41626;49.267877832687915, -123.14220170411868
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51454;"{""coordinates"": [-123.14255732333774, 49.26788307044392], ""type"": ""Point""}";Fairview;B41636;49.26788307044392, -123.14255732333774
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52150;"{""coordinates"": [-123.14407821951234, 49.26807816086433], ""type"": ""Point""}";Fairview;B41713;49.26807816086433, -123.14407821951234
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;56620;"{""coordinates"": [-123.14584416549562, 49.26494450808987], ""type"": ""Point""}";Kitsilano;642313;49.26494450808987, -123.14584416549562
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65575;"{""coordinates"": [-123.1261118626683, 49.28984595749279], ""type"": ""Point""}";Downtown;061325;49.28984595749279, -123.1261118626683
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65855;"{""coordinates"": [-123.1261118626683, 49.28984595749279], ""type"": ""Point""}";Downtown;061327;49.28984595749279, -123.1261118626683
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65596;"{""coordinates"": [-123.12640057536139, 49.28979948785218], ""type"": ""Point""}";Downtown;061328;49.28979948785218, -123.12640057536139
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65797;"{""coordinates"": [-123.12547201492515, 49.2895268038969], ""type"": ""Point""}";Downtown;061306;49.2895268038969, -123.12547201492515
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52939;"{""coordinates"": [-123.14024027115262, 49.26542309139801], ""type"": ""Point""}";Fairview;B71523;49.26542309139801, -123.14024027115262
Twin;$3.00;$5.00;$3.00;$5.00;$3.00;$5.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;50101;"{""coordinates"": [-123.14691569820604, 49.268125086853104], ""type"": ""Point""}";Kitsilano;B41821;49.268125086853104, -123.14691569820604
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;60921;"{""coordinates"": [-123.12502632739131, 49.27438342779826], ""type"": ""Point""}";Downtown;170403;49.27438342779826, -123.12502632739131
Twin;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65351;"{""coordinates"": [-123.12893658862066, 49.27691471223921], ""type"": ""Point""}";Downtown;170805;49.27691471223921, -123.12893658862066
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53726;"{""coordinates"": [-123.10086353202024, 49.26130231859344], ""type"": ""Point""}";Mount Pleasant;512624;49.26130231859344, -123.10086353202024
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54073;"{""coordinates"": [-123.14650412419034, 49.26637195876837], ""type"": ""Point""}";Kitsilano;B61815;49.26637195876837, -123.14650412419034
Single;$7.00;$1.00;$7.00;$1.00;$7.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50154;"{""coordinates"": [-123.12068730015858, 49.26340379769335], ""type"": ""Point""}";Fairview;300713;49.26340379769335, -123.12068730015858
Twin;$7.00;$1.00;$7.00;$1.00;$7.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51755;"{""coordinates"": [-123.12142087226678, 49.26341382336399], ""type"": ""Point""}";Fairview;300733;49.26341382336399, -123.12142087226678
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51244;"{""coordinates"": [-123.12447919185828, 49.2634746147925], ""type"": ""Point""}";Fairview;300901;49.2634746147925, -123.12447919185828
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52059;"{""coordinates"": [-123.09895631118813, 49.26832894312507], ""type"": ""Point""}";Strathcona;A20237;49.26832894312507, -123.09895631118813
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54495;"{""coordinates"": [-123.10780555780178, 49.262984945132956], ""type"": ""Point""}";Mount Pleasant;300120;49.262984945132956, -123.10780555780178
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52977;"{""coordinates"": [-123.1084906990262, 49.2630010978782], ""type"": ""Point""}";Mount Pleasant;300134;49.2630010978782, -123.1084906990262
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52821;"{""coordinates"": [-123.10866215524362, 49.263004696752645], ""type"": ""Point""}";Mount Pleasant;300138;49.263004696752645, -123.10866215524362
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54437;"{""coordinates"": [-123.10882727661016, 49.26300889502326], ""type"": ""Point""}";Mount Pleasant;300144;49.26300889502326, -123.10882727661016
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54162;"{""coordinates"": [-123.09895631118813, 49.26832894312507], ""type"": ""Point""}";Strathcona;A20239;49.26832894312507, -123.09895631118813
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;51036;"{""coordinates"": [-123.1463003546557, 49.26895410969917], ""type"": ""Point""}";Kitsilano;B31809;49.26895410969917, -123.1463003546557
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52206;"{""coordinates"": [-123.14425774879543, 49.26808099522693], ""type"": ""Point""}";Fairview;B41717;49.26808099522693, -123.14425774879543
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;53282;"{""coordinates"": [-123.14439306711783, 49.267912795845135], ""type"": ""Point""}";Fairview;B41724;49.267912795845135, -123.14439306711783
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52561;"{""coordinates"": [-123.10123273626418, 49.26058319746439], ""type"": ""Point""}";Mount Pleasant;512715;49.26058319746439, -123.10123273626418
Twin;$5.00;$4.00;$5.00;$4.00;$5.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52378;"{""coordinates"": [-123.11521155104082, 49.264184630445385], ""type"": ""Point""}";Fairview;B80501;49.264184630445385, -123.11521155104082
Twin;$5.00;$4.00;$5.00;$4.00;$5.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51518;"{""coordinates"": [-123.11521155104082, 49.264184630445385], ""type"": ""Point""}";Fairview;B80503;49.264184630445385, -123.11521155104082
Twin;$7.00;$1.00;$7.00;$1.00;$7.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53151;"{""coordinates"": [-123.13362924309087, 49.26388366115731], ""type"": ""Point""}";Fairview;872412;49.26388366115731, -123.13362924309087
Twin;$7.00;$1.00;$7.00;$1.00;$7.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50155;"{""coordinates"": [-123.13379654228982, 49.26394418519169], ""type"": ""Point""}";Fairview;872409;49.26394418519169, -123.13379654228982
Twin;$6.00;$1.00;$6.00;$1.00;$6.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53122;"{""coordinates"": [-123.13364351825619, 49.26326576385313], ""type"": ""Point""}";Fairview;872504;49.26326576385313, -123.13364351825619
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56058;"{""coordinates"": [-123.1466661424734, 49.26361772701993], ""type"": ""Point""}";Kitsilano;301814;49.26361772701993, -123.1466661424734
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65597;"{""coordinates"": [-123.12530804098239, 49.289631019916975], ""type"": ""Point""}";Downtown;061305;49.289631019916975, -123.12530804098239
Twin;$5.00;$4.00;$5.00;$4.00;$5.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51237;"{""coordinates"": [-123.1161680478615, 49.26420693431861], ""type"": ""Point""}";Fairview;B80521;49.26420693431861, -123.1161680478615
Twin;$5.00;$4.00;$5.00;$4.00;$5.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51897;"{""coordinates"": [-123.11688115599304, 49.264218988332004], ""type"": ""Point""}";Fairview;B80537;49.264218988332004, -123.11688115599304
Twin;$5.00;$4.00;$5.00;$4.00;$5.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51484;"{""coordinates"": [-123.11584040428805, 49.26409151297041], ""type"": ""Point""}";Fairview;B80516;49.26409151297041, -123.11584040428805
Twin;$5.00;$4.00;$5.00;$4.00;$5.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50105;"{""coordinates"": [-123.11691099605234, 49.26410849701736], ""type"": ""Point""}";Fairview;B80538;49.26410849701736, -123.11691099605234
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54251;"{""coordinates"": [-123.14114801318664, 49.26301846680188], ""type"": ""Point""}";Fairview;892513;49.26301846680188, -123.14114801318664
Single;$1.00;$3.00;$1.00;$3.00;$1.00;$3.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;65772;"{""coordinates"": [-123.12906737667545, 49.27699912097391], ""type"": ""Point""}";Downtown;170807;49.27699912097391, -123.12906737667545
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50229;"{""coordinates"": [-123.11070697582372, 49.266974992683735], ""type"": ""Point""}";Mount Pleasant;782014;49.266974992683735, -123.11070697582372
Twin;$5.00;$4.00;$5.00;$4.00;$5.00;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53407;"{""coordinates"": [-123.11673326779386, 49.2641048987299], ""type"": ""Point""}";Fairview;B80534;49.2641048987299, -123.11673326779386
